x,y,psi
0.000000,0.000000,0.000000
0.286891,0.087712,17.000000
0.583596,0.132054,8.500000
0.854372,0.261208,25.500000
1.141263,0.348919,17.000000
1.437968,0.393262,8.500000
1.737968,0.393262,0.000000
2.034673,0.437605,8.500000
2.331377,0.481948,8.500000
2.628082,0.437605,-8.500000
2.898858,0.308451,-25.500000
3.120041,0.105774,-42.500000
3.120041,0.105774,-42.500000
3.272303,-0.152714,-59.500000
3.424564,-0.411203,-59.500000
3.645747,-0.613880,-42.500000
3.916523,-0.743033,-25.500000
4.213228,-0.787376,-8.500000
4.509932,-0.743033,8.500000
4.806637,-0.698691,8.500000
5.106637,-0.698691,0.000000
5.403342,-0.743033,-8.500000
5.700047,-0.787376,-8.500000
6.000047,-0.787376,0.000000
6.300047,-0.787376,0.000000
6.600047,-0.787376,0.000000
6.900047,-0.787376,0.000000
7.200047,-0.787376,0.000000
7.500047,-0.787376,0.000000
7.796751,-0.743033,8.500000
8.083643,-0.655322,17.000000
8.354418,-0.526169,25.500000
8.603130,-0.358411,34.000000
8.851841,-0.190653,34.000000
9.138732,-0.102941,17.000000
9.438732,-0.102941,0.000000
9.725624,-0.190653,-17.000000
9.996399,-0.319806,-25.500000
10.217583,-0.522483,-42.500000
10.369844,-0.780972,-59.500000
10.522106,-1.039461,-59.500000
10.592139,-1.331172,-76.500000
10.573825,-1.630612,-93.500000
10.555510,-1.930053,-93.500000
10.450448,-2.211054,-110.500000
10.432133,-2.510495,-93.500000
10.413819,-2.809935,-93.500000
10.308757,-3.090937,-110.500000
10.163314,-3.353323,-119.000000
10.100940,-3.646767,-102.000000
10.082626,-3.946207,-93.500000
9.977563,-4.227209,-110.500000
9.832120,-4.489595,-119.000000
9.769747,-4.783039,-102.000000
9.664685,-5.064041,-110.500000
9.559623,-5.345043,-110.500000
9.414180,-5.607429,-119.000000
9.351806,-5.900873,-102.000000
9.377953,-6.199731,-85.000000
9.490335,-6.477886,-68.000000
9.679131,-6.711030,-51.000000
9.927842,-6.878788,-34.000000
10.176554,-7.046546,-34.000000
10.425265,-7.214304,-34.000000
10.614061,-7.447448,-51.000000
10.726443,-7.725603,-68.000000
10.796476,-8.017314,-76.500000
10.866510,-8.309025,-76.500000
10.848196,-8.608465,-93.500000
10.743133,-8.889467,-110.500000
10.560505,-9.127473,-127.500000
10.316270,-9.301684,-144.500000
10.100468,-9.510081,-136.000000
9.955025,-9.772467,-119.000000
9.772397,-10.010473,-127.500000
9.667335,-10.291475,-110.500000
9.667335,-10.291475,-110.500000
9.649020,-10.590915,-93.500000
9.630706,-10.890356,-93.500000
9.612391,-11.189796,-93.500000
9.682425,-11.481507,-76.500000
9.708571,-11.780365,-85.000000
9.734718,-12.079224,-85.000000
9.672345,-12.372668,-102.000000
9.609971,-12.666112,-102.000000
9.547598,-12.959557,-102.000000
9.402155,-13.221943,-119.000000
9.297093,-13.502944,-110.500000
9.278778,-13.802385,-93.500000
9.348812,-14.094096,-76.500000
9.501073,-14.352584,-59.500000
9.689869,-14.585728,-51.000000
9.878665,-14.818872,-51.000000
9.991047,-15.097027,-68.000000
10.103429,-15.375182,-68.000000
10.292225,-15.608326,-51.000000
10.444487,-15.866815,-59.500000
10.596748,-16.125304,-59.500000
10.666782,-16.417015,-76.500000
10.648467,-16.716455,-93.500000
10.674614,-17.015313,-85.000000
10.700761,-17.314172,-85.000000
10.770794,-17.605883,-76.500000
10.840828,-17.897594,-76.500000
10.993090,-18.156083,-59.500000
11.105472,-18.434238,-68.000000
11.131618,-18.733096,-85.000000
11.157765,-19.031954,-85.000000
11.095392,-19.325399,-102.000000
11.033018,-19.618843,-102.000000
10.887575,-19.881229,-119.000000
10.671773,-20.089626,-136.000000
10.455971,-20.298024,-136.000000
10.310528,-20.560410,-119.000000
10.248155,-20.853854,-102.000000
10.185781,-21.147298,-102.000000
10.123408,-21.440743,-102.000000
10.018346,-21.721744,-110.500000
9.913283,-22.002746,-110.500000
9.808221,-22.283748,-110.500000
9.625593,-22.521754,-127.500000
9.381358,-22.695965,-144.500000
9.096861,-22.791156,-161.500000
8.796964,-22.799009,-178.500000
8.501521,-22.851104,-170.000000
8.206079,-22.903198,-170.000000
7.908315,-22.866637,-187.000000
7.612873,-22.918732,-170.000000
7.312976,-22.926585,-178.500000
7.312976,-22.926585,-178.500000
7.023887,-22.846413,-195.500000
6.726123,-22.809852,-187.000000
6.426226,-22.817705,-178.500000
6.126328,-22.825559,-178.500000
5.841831,-22.920750,-161.500000
5.597597,-23.094961,-144.500000
5.353362,-23.269172,-144.500000
5.068865,-23.364363,-161.500000
4.768968,-23.372216,-178.500000
4.479879,-23.292045,-195.500000
4.182115,-23.255484,-187.000000
3.908051,-23.133463,-204.000000
3.655034,-22.972273,-212.500000
3.402016,-22.811083,-212.500000
3.112927,-22.730912,-195.500000
2.813030,-22.738765,-178.500000
2.528533,-22.833956,-161.500000
2.244036,-22.929148,-161.500000
1.944139,-22.937001,-178.500000
1.648696,-22.989095,-170.000000
1.353254,-23.041190,-170.000000
1.085952,-23.177387,-153.000000
0.801455,-23.272578,-161.500000
0.516958,-23.367769,-161.500000
0.217061,-23.375623,-178.500000
-0.080703,-23.339062,-187.000000
-0.376146,-23.391156,-170.000000
-0.676043,-23.399009,-178.500000
-0.960540,-23.494201,-161.500000
-1.245037,-23.589392,-161.500000
-1.529534,-23.684583,-161.500000
-1.829431,-23.692437,-178.500000
-2.127195,-23.655876,-187.000000
-2.416284,-23.575704,-195.500000
-2.690348,-23.453683,-204.000000
-2.916761,-23.256866,-221.000000
-3.111595,-23.028744,-229.500000
-3.231220,-22.753626,-246.500000
-3.390196,-22.499211,-238.000000
-3.616609,-22.302394,-221.000000
-3.890672,-22.180373,-204.000000
-4.188436,-22.143812,-187.000000
-4.483878,-22.195906,-170.000000
-4.751180,-22.332103,-153.000000
-5.018482,-22.468301,-153.000000
-5.313925,-22.520395,-170.000000
-5.611689,-22.483834,-187.000000
-5.885752,-22.361813,-204.000000
-5.885752,-22.361813,-204.000000
-6.183516,-22.325252,-187.000000
-6.483413,-22.333105,-178.500000
-6.767910,-22.428297,-161.500000
-7.035212,-22.564494,-153.000000
-7.302514,-22.700691,-153.000000
-7.546749,-22.874902,-144.500000
-7.831246,-22.970093,-161.500000
-8.126688,-23.022188,-170.000000
-8.424452,-22.985627,-187.000000
-8.698516,-22.863606,-204.000000
-8.924929,-22.666788,-221.000000
-9.151342,-22.469971,-221.000000
-9.425405,-22.347950,-204.000000
-9.723169,-22.311389,-187.000000
-10.018611,-22.363483,-170.000000
-10.318509,-22.371336,-178.500000
-10.618406,-22.379190,-178.500000
-10.918303,-22.387043,-178.500000
-11.216067,-22.350482,-187.000000
-11.513831,-22.313921,-187.000000
-11.813728,-22.321774,-178.500000
-12.109170,-22.373869,-170.000000
-12.409067,-22.381722,-178.500000
-12.708965,-22.389575,-178.500000
-13.004407,-22.441669,-170.000000
-13.302171,-22.405108,-187.000000
-13.602068,-22.412961,-178.500000
-13.899832,-22.376401,-187.000000
-14.197596,-22.339840,-187.000000
-14.471659,-22.217819,-204.000000
-14.698072,-22.021001,-221.000000
-14.951090,-21.859811,-212.500000
-15.225153,-21.737790,-204.000000
-15.522917,-21.701229,-187.000000
-15.818359,-21.753324,-170.000000
-16.113802,-21.805418,-170.000000
-16.409244,-21.857513,-170.000000
-16.707008,-21.820952,-187.000000
-17.006905,-21.828805,-178.500000
-17.306802,-21.836658,-178.500000
-17.602245,-21.888753,-170.000000
-17.897687,-21.940847,-170.000000
-18.195451,-21.904286,-187.000000
-18.469514,-21.782265,-204.000000
-18.695927,-21.585448,-221.000000
-18.854903,-21.331033,-238.000000
-18.854903,-21.331033,-238.000000
-18.932549,-21.041255,-255.000000
-18.922079,-20.741438,-272.000000
-18.824408,-20.457783,-289.000000
-18.726738,-20.174127,-289.000000
-18.588213,-19.908024,-297.500000
-18.490543,-19.624368,-289.000000
-18.435872,-19.329392,-280.500000
-18.469833,-19.031320,-263.500000
-18.589458,-18.756202,-246.500000
-18.709083,-18.481084,-246.500000
-18.903917,-18.252962,-229.500000
-19.098752,-18.024841,-229.500000
-19.218376,-17.749723,-246.500000
-19.252337,-17.451651,-263.500000
-19.197667,-17.156674,-280.500000
-19.059142,-16.890571,-297.500000
-18.961472,-16.606916,-289.000000
-18.785136,-16.364211,-306.000000
-18.646611,-16.098107,-297.500000
-18.436339,-15.884132,-314.500000
-18.260003,-15.641427,-306.000000
-18.162333,-15.357772,-289.000000
-18.151863,-15.057954,-272.000000
-18.097192,-14.762978,-280.500000
-18.086722,-14.463161,-272.000000
-17.989052,-14.179505,-289.000000
-17.812716,-13.936800,-306.000000
-17.715046,-13.653144,-289.000000
-17.660375,-13.358168,-280.500000
-17.694336,-13.060096,-263.500000
-17.813961,-12.784978,-246.500000
-17.933586,-12.509860,-246.500000
-17.967546,-12.211789,-263.500000
-17.912876,-11.916812,-280.500000
-17.946837,-11.618741,-263.500000
-18.024482,-11.328963,-255.000000
-18.102128,-11.039185,-255.000000
-18.179774,-10.749407,-255.000000
-18.169304,-10.449590,-272.000000
-18.071634,-10.165935,-289.000000
-18.016963,-9.870958,-280.500000
-18.050924,-9.572887,-263.500000
-18.084885,-9.274815,-263.500000
-18.204510,-8.999697,-246.500000
-18.399344,-8.771575,-229.500000
-18.594178,-8.543453,-229.500000
-18.789013,-8.315332,-229.500000
-18.908638,-8.040214,-246.500000
-18.942599,-7.742142,-263.500000
-18.887928,-7.447166,-280.500000
-18.877458,-7.147348,-272.000000
-18.955104,-6.857571,-255.000000
-19.032749,-6.567793,-255.000000
-19.022280,-6.267976,-272.000000
-18.967609,-5.972999,-280.500000
-19.001570,-5.674928,-263.500000
-19.035531,-5.376856,-263.500000
-19.035531,-5.376856,-263.500000
-18.980860,-5.081880,-280.500000
-18.842336,-4.815776,-297.500000
-18.632063,-4.601801,-314.500000
-18.368418,-4.458653,-331.500000
-18.158145,-4.244678,-314.500000
-17.981809,-4.001973,-306.000000
-17.771537,-3.787998,-314.500000
-17.595201,-3.545293,-306.000000
-17.497531,-3.261637,-289.000000
-17.487061,-2.961820,-272.000000
-17.564706,-2.672042,-255.000000
-17.598667,-2.373971,-263.500000
-17.632628,-2.075899,-263.500000
-17.666589,-1.777828,-263.500000
-17.700550,-1.479756,-263.500000
-17.645880,-1.184780,-280.500000
-17.507355,-0.918677,-297.500000
-17.331019,-0.675971,-306.000000
-17.091429,-0.495427,-323.000000
-16.809521,-0.392821,-340.000000
-16.509932,-0.377120,-357.000000
-16.218843,-0.449697,-374.000000
-15.920225,-0.478450,-365.500000
-15.643061,-0.593255,-382.500000
-15.344442,-0.622009,-365.500000
-15.050464,-0.562199,-348.500000
-14.786819,-0.419051,-331.500000
-14.576547,-0.205076,-314.500000
-14.438022,0.061027,-297.500000
-14.261686,0.303732,-306.000000
-14.085351,0.546437,-306.000000
-13.845760,0.726982,-323.000000
-13.563852,0.829588,-340.000000
-13.264264,0.845289,-357.000000
-12.973175,0.772712,-374.000000
-12.716025,0.618201,-391.000000
-12.515285,0.395257,-408.000000
-12.349704,0.145092,-416.500000
-12.184123,-0.105074,-416.500000
-11.952636,-0.295898,-399.500000
-11.675472,-0.410703,-382.500000
-11.376853,-0.439456,-365.500000
-11.082876,-0.379646,-348.500000
-10.788898,-0.319836,-348.500000
-10.490279,-0.348589,-365.500000
-10.191661,-0.377343,-365.500000
-9.897683,-0.317533,-348.500000
-9.603706,-0.257722,-348.500000
-9.321798,-0.155116,-340.000000
-9.022209,-0.139415,-357.000000
-9.022209,-0.139415,-357.000000
-8.722620,-0.123715,-357.000000
-8.424001,-0.152468,-365.500000
-8.130024,-0.092658,-348.500000
-7.836047,-0.032848,-348.500000
-7.537428,-0.061601,-365.500000
-7.238809,-0.090355,-365.500000
-6.944831,-0.030545,-348.500000
-6.646213,-0.059298,-365.500000
-6.347594,-0.088052,-365.500000
-6.048005,-0.072351,-357.000000
-5.754027,-0.012541,-348.500000
-5.455409,-0.041295,-365.500000
-5.155820,-0.025594,-357.000000
-4.864731,-0.098170,-374.000000
-4.573642,-0.170747,-374.000000
-4.274053,-0.155046,-357.000000
-3.992146,-0.052440,-340.000000
-3.752555,0.128104,-323.000000
-3.512964,0.308649,-323.000000
-3.231057,0.411255,-340.000000
-2.949149,0.513861,-340.000000
-2.649560,0.529562,-357.000000
-2.349971,0.545262,-357.000000
-2.051352,0.516509,-365.500000
-1.774188,0.401704,-382.500000
-1.483100,0.329127,-374.000000
-1.183511,0.344828,-357.000000
-0.901603,0.447434,-340.000000
